Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C4, C6, C7, C9",0805,7,100nF 16v X7R,
"C10, C11, C8",0805,3,10uF 16v X7R,
C3,0805,1,10nF 16v X7R,
C5,0805,1,1uF 16v X7R,
D3,D_SOD-323,1,1N5819WS,
"D4, D5, D6",0805,3,LED,
P1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,hanxia HX TYPE-C 16PIN,C5178539
Q1,TO-263-2,1,IRLZ44NSTRR-VB,
Q2,SOT-23,1,IRLML6402,
"R1, R11, R16, R17, R2, R3, R4, R5, R6, R7, R9",0805,11,10k,
R10,0805,1,100R,
R12,2512,1,10m 1%,
R13,2512,1,100m 1%,
"R14, R15",0805,2,10R,
"R18, R20",0805,2,5k1,
R19,0805,1,2R,
R21,0805,1,100k,
"R22, R23, R24, R25, R8",0805,5,2k7,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,EC11E1834403,
"SW2, SW3",SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm,2,1TS009A-1800-5000-CT,
U1,DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,1,MCP6002T-E/MC,C623660
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,INA219AIDR,C138706
U3,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U4,SOT-23-5,1,XC6210B332MR,
U5,TSOT-23-6,1,TP4057,
